State,State ABBR,Rate,Year,,,,
Alabama,AL,120.3,2007,,,,
Alabama,AL,126.1,2008,,,,
Alabama,AL,131.6,2009,,,,
Alabama,AL,134.3,2010,,,,
Alabama,AL,136.6,2011,,,,
Alabama,AL,143.8,2012,,,,
Alabama,AL,142.4,2013,,,,
Alabama,AL,135.2,2014,,,,
Alabama,AL,125,2015,,,,
Alabama,AL,121,2016,,,,
Alabama,AL,107.2,2017,,,,
Alaska,AK,66.6,2007,,,,
Alaska,AK,68.5,2008,,,,
Alaska,AK,67.3,2009,,,,
Alaska,AK,68.4,2010,,,,
Alaska,AK,68,2011,,,,
Alaska,AK,66.8,2012,,,,
Alaska,AK,63.7,2013,,,,
Alaska,AK,62.7,2014,,,,
Alaska,AK,60.8,2015,,,,
Alaska,AK,58.9,2016,,,,
Alaska,AK,52,2017,,,,
Arizona,AZ,77.8,2007,,,,
Arizona,AZ,80.9,2008,,,,
Arizona,AZ,84.2,2009,,,,
Arizona,AZ,88.5,2010,,,,
Arizona,AZ,88.6,2011,,,,
Arizona,AZ,85.3,2012,,,,
Arizona,AZ,80.4,2013,,,,
Arizona,AZ,79.7,2014,,,,
Arizona,AZ,75.5,2015,,,,
Arizona,AZ,70.2,2016,,,,
Arizona,AZ,61.2,2017,,,,
Arkansas,AR,108.2,2007,,,,
Arkansas,AR,112.1,2008,,,,
Arkansas,AR,116,2009,,,,
Arkansas,AR,120.8,2010,,,,
Arkansas,AR,115.2,2011,,,,
Arkansas,AR,121.8,2012,,,,
Arkansas,AR,120.9,2013,,,,
Arkansas,AR,123.2,2014,,,,
Arkansas,AR,117.2,2015,,,,
Arkansas,AR,114.6,2016,,,,
Arkansas,AR,105.4,2017,,,,
California,CA,53.6,2007,,,,
California,CA,55.1,2008,,,,
California,CA,55.6,2009,,,,
California,CA,55.8,2010,,,,
California,CA,55.9,2011,,,,
California,CA,56.4,2012,,,,
California,CA,54.4,2013,,,,
California,CA,52.7,2014,,,,
California,CA,47.7,2015,,,,
California,CA,44.8,2016,,,,
California,CA,39.5,2017,,,,
Colorado,CO,65.9,2007,,,,
Colorado,CO,67.7,2008,,,,
Colorado,CO,69.8,2009,,,,
Colorado,CO,72,2010,,,,
Colorado,CO,73,2011,,,,
Colorado,CO,73.5,2012,,,,
Colorado,CO,71.2,2013,,,,
Colorado,CO,69.6,2014,,,,
Colorado,CO,65.1,2015,,,,
Colorado,CO,59.8,2016,,,,
Colorado,CO,52.9,2017,,,,
Connecticut,CT,67.5,2007,,,,
Connecticut,CT,68.7,2008,,,,
Connecticut,CT,68.1,2009,,,,
Connecticut,CT,68.6,2010,,,,
Connecticut,CT,69.1,2011,,,,
Connecticut,CT,69.3,2012,,,,
Connecticut,CT,67.4,2013,,,,
Connecticut,CT,66,2014,,,,
Connecticut,CT,62.3,2015,,,,
Connecticut,CT,55.9,2016,,,,
Connecticut,CT,48,2017,,,,
Delaware,DE,92.3,2007,,,,
Delaware,DE,95.4,2008,,,,
Delaware,DE,97.5,2009,,,,
Delaware,DE,101.1,2010,,,,
Delaware,DE,99.7,2011,,,,
Delaware,DE,94,2012,,,,
Delaware,DE,92.7,2013,,,,
Delaware,DE,91,2014,,,,
Delaware,DE,84.4,2015,,,,
Delaware,DE,79.2,2016,,,,
Delaware,DE,68.3,2017,,,,
District of Columbia,DC,41.2,2007,,,,
District of Columbia,DC,34.5,2008,,,,
District of Columbia,DC,34.4,2009,,,,
District of Columbia,DC,37.1,2010,,,,
District of Columbia,DC,39.8,2011,,,,
District of Columbia,DC,40.3,2012,,,,
District of Columbia,DC,41.1,2013,,,,
District of Columbia,DC,40.1,2014,,,,
District of Columbia,DC,35.7,2015,,,,
District of Columbia,DC,32.5,2016,,,,
District of Columbia,DC,28.5,2017,,,,
Florida,FL,82.2,2007,,,,
Florida,FL,84.3,2008,,,,
Florida,FL,86.3,2009,,,,
Florida,FL,87.6,2010,,,,
Florida,FL,83.5,2011,,,,
Florida,FL,75.9,2012,,,,
Florida,FL,73.5,2013,,,,
Florida,FL,71.4,2014,,,,
Florida,FL,67.1,2015,,,,
Florida,FL,66.6,2016,,,,
Florida,FL,60.9,2017,,,,
Georgia,GA,82.5,2007,,,,
Georgia,GA,86.3,2008,,,,
Georgia,GA,88.2,2009,,,,
Georgia,GA,90.2,2010,,,,
Georgia,GA,88.6,2011,,,,
Georgia,GA,89.4,2012,,,,
Georgia,GA,86.6,2013,,,,
Georgia,GA,83.8,2014,,,,
Georgia,GA,79.4,2015,,,,
Georgia,GA,77.8,2016,,,,
Georgia,GA,70.9,2017,,,,
Hawaii,HI,44.5,2007,,,,
Hawaii,HI,46.6,2008,,,,
Hawaii,HI,47.8,2009,,,,
Hawaii,HI,50.1,2010,,,,
Hawaii,HI,50.1,2011,,,,
Hawaii,HI,50.4,2012,,,,
Hawaii,HI,49.4,2013,,,,
Hawaii,HI,47.7,2014,,,,
Hawaii,HI,44.3,2015,,,,
Hawaii,HI,41.9,2016,,,,
Hawaii,HI,37,2017,,,,
Idaho,ID,78.8,2007,,,,
Idaho,ID,82.7,2008,,,,
Idaho,ID,85.2,2009,,,,
Idaho,ID,88.6,2010,,,,
Idaho,ID,91.4,2011,,,,
Idaho,ID,92,2012,,,,
Idaho,ID,89.2,2013,,,,
Idaho,ID,87.4,2014,,,,
Idaho,ID,81.9,2015,,,,
Idaho,ID,77.6,2016,,,,
Idaho,ID,70.3,2017,,,,
Illinois,IL,59.2,2007,,,,
Illinois,IL,60.2,2008,,,,
Illinois,IL,61,2009,,,,
Illinois,IL,63.1,2010,,,,
Illinois,IL,64.3,2011,,,,
Illinois,IL,66.1,2012,,,,
Illinois,IL,63.7,2013,,,,
Illinois,IL,62.3,2014,,,,
Illinois,IL,59.1,2015,,,,
Illinois,IL,56.8,2016,,,,
Illinois,IL,51.1,2017,,,,
Indiana,IN,99.7,2007,,,,
Indiana,IN,103.3,2008,,,,
Indiana,IN,105.6,2009,,,,
Indiana,IN,107.1,2010,,,,
Indiana,IN,106.7,2011,,,,
Indiana,IN,110.5,2012,,,,
Indiana,IN,106.3,2013,,,,
Indiana,IN,96.7,2014,,,,
Indiana,IN,89.1,2015,,,,
Indiana,IN,83.9,2016,,,,
Indiana,IN,74.2,2017,,,,
Iowa,IA,57.1,2007,,,,
Iowa,IA,59.1,2008,,,,
Iowa,IA,60.4,2009,,,,
Iowa,IA,62.3,2010,,,,
Iowa,IA,64,2011,,,,
Iowa,IA,74.1,2012,,,,
Iowa,IA,72.2,2013,,,,
Iowa,IA,72.3,2014,,,,
Iowa,IA,68.6,2015,,,,
Iowa,IA,64,2016,,,,
Iowa,IA,56.4,2017,,,,
Kansas,KS,80.6,2007,,,,
Kansas,KS,82.7,2008,,,,
Kansas,KS,82.8,2009,,,,
Kansas,KS,86.1,2010,,,,
Kansas,KS,87.8,2011,,,,
Kansas,KS,90.3,2012,,,,
Kansas,KS,88.7,2013,,,,
Kansas,KS,86.5,2014,,,,
Kansas,KS,80.5,2015,,,,
Kansas,KS,76.9,2016,,,,
Kansas,KS,69.8,2017,,,,
Kentucky,KY,130.8,2007,,,,
Kentucky,KY,136.6,2008,,,,
Kentucky,KY,135.2,2009,,,,
Kentucky,KY,136.5,2010,,,,
Kentucky,KY,137,2011,,,,
Kentucky,KY,127.9,2012,,,,
Kentucky,KY,111.7,2013,,,,
Kentucky,KY,110,2014,,,,
Kentucky,KY,102.6,2015,,,,
Kentucky,KY,97.2,2016,,,,
Kentucky,KY,86.8,2017,,,,
Louisiana,LA,110.1,2007,,,,
Louisiana,LA,113.7,2008,,,,
Louisiana,LA,113,2009,,,,
Louisiana,LA,112.6,2010,,,,
Louisiana,LA,111.7,2011,,,,
